control,treatment,region,Estimate,Std. Error,z value,Pr(>|z|),fdr_adj_pval,status
CNO_control_reversal,CNOnCrusILT,Anterior amygdalar area,0.07417860651529663,0.11215717660674898,0.6613808296493172,0.5083681167742204,0.8569485921081651,success
CNO_control_reversal,CNOnCrusILT,Basolateral amygdalar nucleus,0.03550756547017457,0.1193009645270145,0.2976301625971703,0.7659854508786088,0.9427870978557039,success
CNO_control_reversal,CNOnCrusILT,Central amygdalar nucleus,0.19238969225890934,0.12206471034858357,1.5761286919822837,0.11499614790669194,0.5813500625287598,success
CNO_control_reversal,CNOnCrusILT,Cortical amygdalar area,0.26886237864962415,0.18884445075059125,1.4237240097921298,0.15452638059337076,0.6799160746108314,success
CNO_control_reversal,CNOnCrusILT,Intercalated amygdalar nucleus,0.1301685280705305,0.1332084356383889,0.9771793163601844,0.3284803859700024,0.7646913642594017,success
CNO_control_reversal,CNOnCrusILT,Lateral amygdalar nucleus,0.019720106486777977,0.12473186223555759,0.1580999925226509,0.8743780065037589,0.9683052505669143,success
CNO_control_reversal,CNOnCrusILT,Posterior amygdalar nucleus,0.25513785401012845,0.15329043368409812,1.6644081948121965,0.09603088353181323,0.5813500625287598,success
CNO_control_reversal,CNOnCrusILT,Somatomotor areas,-0.003373060942623856,0.09933923725032305,-0.03395497122777522,0.9729130577316961,0.9729130577316961,success
CNO_control_reversal,CNOnCrusILT,Somatosensory areas,-0.03072043036043325,0.09582037537834968,-0.32060436247648466,0.7485102312250655,0.9427870978557039,success
CNO_control_reversal,CNOnCrusILT,Gustatory areas,0.15704895465134133,0.13188243973295816,1.1908253666624726,0.23372214840643524,0.7440872008585568,success
CNO_control_reversal,CNOnCrusILT,Visceral area,-0.03806134308668963,0.12313148046223923,-0.30911139006699356,0.7572367951803454,0.9427870978557039,success
CNO_control_reversal,CNOnCrusILT,Auditory areas,-0.041457957868077,0.11631346496114522,-0.3564330052580424,0.7215163156380238,0.9427870978557039,success
CNO_control_reversal,CNOnCrusILT,Visual areas,0.0669370358646348,0.16899692312785428,0.396084346541586,0.6920428056550184,0.9427870978557039,success
