regionA,z_valueA,pthreshA,regionB,z_valueB,pthreshB,regionC,z_valueC,pthreshC
Anterior amygdalar area,0.2803716064,-1,Anterior amygdalar area,-2.048304914,-1,Anterior amygdalar area,-0.9510317384,-1
Anterior cingulate area,-0.4891207514,-1,Anterior cingulate area,-2.925135008,0.05,Anterior cingulate area,-3.309999685,0.01
Anterior tegmental nucleus,0.7006625356,-1,Anterior tegmental nucleus,4.476326511,0.01,Anterior tegmental nucleus,1.279963292,-1
Anterodorsal nucleus,1.654115724,-1,Anterodorsal nucleus,4.022466106,0.01,Anterodorsal nucleus,5.873849305,0.01
Anterodorsal preoptic nucleus,5.61856918,0.01,Anterodorsal preoptic nucleus,1.268047965,-1,Anterodorsal preoptic nucleus,3.407764888,0.01
Anteromedial nucleus,0.3640670942,-1,Anteromedial nucleus,5.054874835,0.01,Anteromedial nucleus,6.447037526,0.01
Anteroventral nucleus of thalamus,2.565753489,0.05,Anteroventral nucleus of thalamus,3.950314158,0.01,Anteroventral nucleus of thalamus,7.346310042,0.01
Anteroventral periventricular nucleus,-0.1267560622,-1,Anteroventral periventricular nucleus,-0.8982201399,-1,Anteroventral periventricular nucleus,-1.745987428,-1
Anteroventral preoptic nucleus,4.470642478,0.01,Anteroventral preoptic nucleus,-2.926988336,0.05,Anteroventral preoptic nucleus,0.07054768166,-1
Arcuate hypothalamic nucleus,-2.778584021,0.05,Arcuate hypothalamic nucleus,-0.9676337559,-1,Arcuate hypothalamic nucleus,-0.2625172257,-1
Auditory areas,1.356732075,-1,Auditory areas,-2.124161134,-1,Auditory areas,0.4682380257,-1
Barrington's nucleus,2.841616279,0.05,Barrington's nucleus,-0.3043126614,-1,Barrington's nucleus,-0.9652724197,-1
Basolateral amygdalar nucleus,5.091118601,0.01,Basolateral amygdalar nucleus,1.376111489,-1,Basolateral amygdalar nucleus,1.658192997,-1
Caudoputamen,-1.469578881,-1,Caudoputamen,2.112055357,-1,Caudoputamen,-0.2874485509,-1
Central amygdalar nucleus,3.495085248,0.01,Central amygdalar nucleus,2.089892254,-1,Central amygdalar nucleus,1.944720781,-1
Central lateral nucleus of the thalamus,3.434671696,0.01,Central lateral nucleus of the thalamus,7.905519871,0.01,Central lateral nucleus of the thalamus,7.074607613,0.01
Central medial nucleus of the thalamus,-0.3733979856,-1,Central medial nucleus of the thalamus,4.829825989,0.01,Central medial nucleus of the thalamus,5.055184305,0.01
Cortical amygdalar area,-4.857402732,0.01,Cortical amygdalar area,-0.9858579999,-1,Cortical amygdalar area,0.4229735338,-1
Cuneiform nucleus,-0.2661456126,-1,Cuneiform nucleus,5.27775201,0.01,Cuneiform nucleus,1.187538497,-1
